,feat,avg_imp
262,ethnicweekday_count,0.00032805148
263,x_26wk_cnt,0.00032800794
264,ncloseCreditCardwk_cnt,0.00032747182
265,x_66hour_cnt,0.00032702726
266,x_65hour_cnt,0.00032548048
267,highestEdu_sum2,0.00032408183
268,bankCardsetupHour_nunique1,0.000323796
269,residentAddr_sum2,0.00032360532
270,basicLevel_sum2,0.0003235538
271,loanProductweekday_count,0.00032216866
272,bankCard_count2,0.00032105626
273,x_47wk_cnt,0.0003200656
274,gender,0.00031639708
275,x_51,0.00031435478
276,linkRela,0.00031381275
277,x_56hour_cnt,0.0003115512
278,x_73hour_cnt,0.0003106944
279,x_28,0.0003105734
280,x_76wk_cnt,0.00030996156
281,x_64wk_cnt,0.00030977593
282,x_12lmt_mean,0.00030856748
283,basicLevelresidentAddr_nunique,0.00030788788
284,x_55,0.00030595835
285,x_64lmt_min,0.0003057188
286,x_49,0.00030566304
287,x_49wk_cnt,0.00030564942
288,lmtweekday_nunique1,0.0003042145
289,x_56lmt_mean,0.00030387653
290,x_20lmt_max,0.00030272832
291,x_73wk_cnt,0.000301517
292,x_75lmt_std,0.00029868537
293,gender_count2,0.0002986601
294,x_55lmt_mean,0.00029113048
295,x_69hour_cnt,0.00029054398
296,ethnic_count2,0.00028897688
297,x_29wk_cnt,0.0002883496
298,linkRelaweekday_nunique,0.00028752125
299,x_47,0.00028750004
300,x_68lmt_mean,0.0002854773
301,x_16hour_cnt,0.00028346782
302,linkRelasetupHour_nunique1,0.00028331645
303,x_20,0.00027994066
304,unpayIndvLoan,0.00027747906
305,x_73,0.00027463314
306,bankCardweekday_nunique,0.00027384132
307,x_26,0.00027329914
308,ethnic,0.00027306558
309,x_55lmt_std,0.0002721419
310,setupHour_count1,0.00027132872
311,x_44hour_cnt,0.00027089688
312,x_14,0.0002706446
313,x_74lmt_std,0.00027010817
314,x_75lmt_mean,0.00026349523
315,ethnic_sum2,0.00025848518
316,x_56lmt_std,0.00025632972
317,residentAddrloanProduct_mn1,0.000253315
318,ethnicloanProduct_count1,0.0002522339
319,x_66lmt_mean,0.00025131876
320,x_76,0.0002501838
321,x_47lmt_mean,0.00024687516
322,bankCardresidentAddr_count1,0.00024684714
323,ethnic_count1,0.00024684687
324,x_71lmt_mean,0.00024183436
325,x_25lmt_std,0.0002417637
326,x_29hour_cnt,0.0002378667
327,dt_year,0.00023562666
